Budget,Clicks,Conversions,Revenue_Generated,ROI,Subscription_Tier,Subscription_Length,Discount_Level,Units_Sold,Bundle_Price,Customer_Satisfaction_Post_Refund,Common_Keywords,Budget_Category,ROI_Category,Subscription_Length_Category,Discount_Category,Satisfaction_Category
41770.45,4946,73,15520.09,1.94,Premium,4,43,34,433.8,4,Affordable,Very High,Average,Short,High,High
29900.93,570,510,30866.17,0.76,Premium,4,28,97,289.29,2,Innovative,High,Poor,Short,Medium,Low
22367.45,3546,265,32585.62,1.41,Basic,9,51,160,462.87,4,Affordable,Medium,Poor,Short,High,High
29957.54,2573,781,95740.12,3.32,Premium,32,36,159,334.16,1,Durable,High,Good,Very Long,Medium,Low
36277.19,818,79,81990.43,3.53,Standard,29,20,52,371.67,2,Affordable,High,Good,Very Long,Low,Low
41159.74,1259,763,65792.3,0.77,Basic,31,17,88,194.93,2,Affordable,Very High,Poor,Very Long,Low,Low
32787.71,3882,29,54205.71,4.84,Basic,9,44,75,232.09,1,Stylish,High,Excellent,Short,High,Low
38372.99,230,350,82083.18,0.74,Premium,18,31,26,211.59,4,Stylish,Very High,Poor,Medium,Medium,High
13332.96,4657,349,95260.16,0.75,Premium,2,29,78,495.94,4,Affordable,Medium,Poor,Short,Medium,High
33407.18,3027,963,25569.45,2.15,Basic,35,14,149,488.82,2,Durable,High,Average,Very Long,Low,Low
11456.22,4449,331,67630.55,2.37,Standard,33,19,143,266.61,2,Durable,Low,Average,Very Long,Low,Low
43196.51,3528,323,63178.82,4.42,Standard,8,35,142,417.97,3,Stylish,Very High,Excellent,Short,Medium,Medium
41208.27,2385,326,62705.47,4.93,Premium,23,41,158,193.41,2,Innovative,Very High,Excellent,Long,High,Low
18180.18,2659,642,10906.87,3.96,Premium,32,34,40,361.68,2,Innovative,Medium,Excellent,Very Long,Medium,Low
4189.15,1087,790,82691.34,3.43,Standard,6,62,120,298.45,3,Stylish,Low,Good,Short,Very High,Medium
35505.09,868,309,22019.07,1.98,Standard,23,31,185,209.6,4,Affordable,High,Average,Long,Medium,High
4790.99,2872,940,81902.94,3.85,Premium,28,59,64,233.93,2,Stylish,Low,Good,Very Long,Very High,Low
15891.2,1582,706,38536.95,4.17,Basic,24,16,102,199.02,1,Stylish,Medium,Excellent,Long,Low,Low
13009.17,1332,580,50091.17,3.51,Basic,27,20,80,154.4,1,Affordable,Medium,Good,Long,Low,Low
47193.29,3585,791,56029.73,1.55,Premium,25,59,106,384.44,1,Affordable,Very High,Poor,Long,Very High,Low
36564.68,4331,108,46426.93,1.23,Premium,21,31,177,410.3,3,Durable,High,Poor,Long,Medium,Medium
37864.68,1888,947,23255.86,1.94,Basic,14,33,179,443.24,4,Durable,High,Average,Medium,Medium,High
18632.1,497,91,68453.18,4.25,Basic,1,31,102,227.11,3,Innovative,Medium,Excellent,Short,Medium,Medium
38985.39,3848,411,99186.53,4.86,Standard,6,10,137,252.01,2,Affordable,Very High,Excellent,Short,Low,Low
